PMC1,PMC2,PMC3,PMC4,PMC5,PMC6,PMC7,PMC8,PMC9,PMC10,PMC11,PMC12,MCE1,MCE2,MCE3,MCE4,MCE5,MCE6,MCE7,MCE8,MCE9,MCE21,MCE22,MCE23,MCE24,MCE25,MCE26,MCE27,MCE28,MCE29,MCE30,MCE31,MP1,MP2,MP3,MP4,SI1,SI2,SI3,SI4,SI6,SI7,SI8,SI9,SI10,SI11,SI12,SI13,SI14,SI15,SI16,F1,F11,F2,F3,F4,F5,F6,F7,F8,F9,F10,MCA1,MCA2,MCEn1,MCEn2,Norm,TA1,TA2,Sub1,Sub2,Anth1,Anth2,Anth3,Anth4,attention,own,work,smart,exper,fint,fexp,politics,religion,relelse,diet,feedback,minutes,progress,age,gender,region,raceethnicity,education,income,Pcode,exp_seen_abuse,exp_video_abuse,exp_conv_robot,exp_book_article,exp_conv_friend,exp_none,religionRNR,dietMR,exp_prop,PMC1nr,PMC2nr,PMC3nr,PMC4nr,PMC5nr,PMC6nr,PMC7nr,PMC8nr,PMC9nr,PMC10nr,PMC11nr,PMC12nr,MCE1nr,MCE2nr,MCE3nr,MCE4nr,MCE5nr,MCE6nr,MCE7nr,MCE8nr,MCE9nr,SI1nr,SI2nr,SI3nr,SI4nr,MCA1nr,MCA2nr,MCEn1nr,MCEn2nr,education_recode,age_recode,income_recode,weight
6,6,6,6,6,6,7,6,5,4,5,4,6,1,6,6,7,1,6,6,6,3.44,3.4,2.64,2.8,2.56,2.52,2.52,2,3.72,5,4.92,1,0,32,31,6,3,5,5,2,5,2,5,6,3,5,7,2,1,1,Not sure,Not sure,20,20,100,2.64,2.68,3.52,3.44,3.28,3.12,7,6,7,6,6.64,1,1,5.14,3.46,0,3.9,2.3,0,(2) agree,Yes,No,Yes,"[""None of the above""]",0,0,3.2,Catholic,,Meat-eater,,8.05,0.923076923,43,Female,Midwest,Hispanic,11,82500,1,0,0,0,0,0,1,0,0,0,5,5,5,5,5,5,6,5,4,,4,,5,1,5,5,6,1,5,5,5,5,3,4,4,6,5,6,5,post_grad,35_54,75000_99999,0.854030735
3,4,7,6,6,3,5,6,6,2,2,1,6,3,7,7,7,5,3,6,7,4.28,3.88,2.96,1.12,2.56,3.32,1.04,1.12,2.68,4.36,3.16,100,81,70,43,5,2,4,2,3,3,3,2,2,7,1,4,1,2,5,Not sure,No,-1,-1,58,4.48,2.56,4,2.08,3.84,5,6,7,7,7,1.06,1.12,1,2.26,1,3.2,0.9,1.6,2,(2) agree,No,No,Yes,"[""None of the above""]",0,5,1.08,Other,Testigo de JehovÃ¡,Meat-eater,,25.05,0.948717949,36,Male,South,Hispanic,5,7500,2,0,0,0,0,0,1,0,0,0,3,,6,5,5,3,4,5,5,2,2,1,5,3,6,6,6,4,3,5,6,4,2,,2,5,6,6,6,high,35_54,_24999,0.949168534
6,2,6,6,4,1,1,1,1,1,1,1,3,1,1,1,4,1,4,4,3,1.48,1.32,1.52,1.44,1.52,1.52,1.48,1.36,2.16,1.56,1.48,2,1,24,5,6,4,6,6,1,1,1,2,2,1,1,3,2,1,1,Not sure,Not sure,0,0,4,1.88,1.48,1.52,1.68,1.8,1.52,6,5,5,3,5.8,1.06,2.32,5.92,3.22,0.9,2.7,0.4,0.2,(2) agree,No,No,No,"[""None of the above""]",1,2,3.6,Other,Evangelical Christian,Meat-eater,,10.4,0.923076923,69,Female,West,Hispanic,5,57500,3,0,0,0,0,0,1,0,0,0,5,2,5,5,,1,1,1,1,1,1,1,3,1,1,1,,1,,,3,5,,5,5,5,4,4,3,high,55_,50000_74999,1.202227123
5,5,6,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,5,5,5,3.08,3.04,2.72,3.08,3.08,2.76,3.04,3,3.84,2.8,2.68,50,51,40,50,5,5,5,5,4,4,4,4,4,6,7,5,7,2,5,Not sure,Not sure,0,0,61,3,3.08,3.08,3.4,4.16,3.08,3,6,5,6,2.68,2.74,2.68,3.52,3.94,0,6.6,4.4,0,(2) agree,Yes,Yes,Yes,"[""None of the above""]",0,0,3.4,Protestant,,Meat-eater,,10.5,0.948717949,37,Female,Northeast,Black,7,82500,4,0,0,0,0,0,1,0,0,0,4,4,5,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,4,4,4,4,4,4,4,3,5,4,5,some_college,35_54,75000_99999,1.060863717
4,4,4,2,4,4,4,4,4,4,4,4,6,5,6,4,4,4,4,2,5,3.56,2.6,2.52,3.48,2.36,2.48,3.68,2.4,2.2,2.6,2.56,41,39,63,39,6,4,5,5,6,2,5,3,1,4,2,6,6,2,3,Not sure,Not sure,5,2,46,3.36,3.44,3.16,2.6,2.48,2.64,6,2,6,6,3.28,4.48,3.22,3.4,3.52,5.3,4,3.9,3.9,(2) agree,Yes,No,Yes,"[""Had a conversation with a family member or friend about robots/AIs""]",1,0,2.76,Other,Christian,Other restrictions,,12.42,0.923076923,52,Female,South,Other (Non-Hispanic),10,175000,5,0,0,0,0,1,0,0,1,0.2,,,,2,,,,,,,,,5,4,5,,,,,2,4,5,,4,4,5,2,5,5,bachelors,35_54,100000_,0.866922627
3,2,2,2,5,5,5,5,5,2,5,5,5,5,3,2,5,5,3,3,5,3.6,3.96,4.24,4.44,3.72,3.8,3.92,1.96,3.84,2.44,2.16,32,41,69,81,3,5,5,5,2,2,2,2,2,2,2,2,2,2,2,Not sure,Not sure,0,0,70,2.24,4.2,3.72,2.24,2.12,3.6,5,5,5,5,5.26,3.16,5.14,3.04,5.8,3.3,7.1,7.4,3.5,(2) agree,No,No,No,"[""None of the above""]",0,1,4.08,Catholic,,Meat-eater,,4.7,0.923076923,32,Female,West,Hispanic,10,37500,6,0,0,0,0,0,1,0,0,0,3,2,2,2,4,4,4,4,4,2,4,4,4,4,3,2,4,4,3,3,4,3,4,4,4,4,4,4,4,bachelors,18_34,25000_49999,0.701760225
1,1,4,6,1,1,6,5,1,1,2,1,1,1,1,1,1,1,1,1,1,4,1.12,3.84,1.8,2.12,2.36,2.36,1.04,2.12,4.04,1.44,34,34,76,36,1,1,1,2,2,2,1,1,1,2,2,2,2,1,1,Not sure,Yes,0,20,51,1,1,4.24,1.04,1,1,6,3,5,6,2.38,1,1.06,6.82,6.76,2.1,2.3,2.4,0.1,(2) agree,No,No,Yes,"[""None of the above""]",2,0,2.44,Agnostic,,Meat-eater,This is dumb,14.72,0.923076923,18,Female,South,Hispanic,7,137500,7,0,0,0,0,0,1,1,0,0,1,1,,5,1,1,5,4,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,5,3,4,5,some_college,18_34,100000_,1.458903212
1,5,3,1,1,5,1,1,1,7,3,1,4,1,1,1,7,1,7,6,7,4.4,2.2,4.28,1.96,4.08,1.04,1.56,4.84,4.04,1.2,1.8,10,11,84,70,7,1,3,7,6,4,6,3,4,1,7,2,7,3,5,No,No,25,50,67,4.6,1.88,4.24,1.76,1.96,1.68,1,2,2,2,6.7,1.3,2.5,5.92,1.78,0.9,1,0.8,1,(2) agree,No,Yes,Yes,"[""None of the above""]",1,2,2.6,Protestant,,Meat-eater,,10.65,0.923076923,69,Male,Midwest,Hispanic,11,67500,8,0,0,0,0,0,1,0,0,0,1,4,3,1,1,4,1,1,1,6,3,1,,1,1,1,6,1,6,5,6,6,1,3,6,1,2,2,2,post_grad,55_,50000_74999,1.11463561
4,3,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,3,4,4,4,1.8,3.24,2.48,3.48,2.24,1.36,2.68,2.2,1.96,2.68,3.24,42,17,53,44,4,2,4,4,2,1,4,2,3,4,3,3,3,2,1,Not sure,Not sure,-1,10,3,2.96,2.96,3,3,3,2.16,4,4,4,6,4.3,1.6,4,4,4,0.9,2.7,3.5,0.8,(2) agree,No,No,Yes,"[""None of the above""]",0,2,3,Undisclosed,,Meat-eater,,8.52,0.923076923,37,Female,South,Other (Non-Hispanic),8,42500,9,0,0,0,0,0,1,1,0,0,,3,,,,,4,,,,,,,,,,,3,,,,,2,,,,,,5,some_college,35_54,25000_49999,0.983347999
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3.28,2.56,3.6,2.56,2.4,1.84,3.44,1.52,2.44,4.24,3.44,25,12,56,68,6,4,6,6,3,2,3,3,2,4,3,3,2,1,2,Not sure,Yes,20,15,68,3.24,2.44,3.48,3.4,3.48,3.24,5,3,5,6,2.62,2.02,1.96,2.56,2.74,3.2,2.6,2.5,2.7,(2) agree,No,Yes,No,"[""None of the above""]",0,0,3,Atheist,,Meat-eater,,8.68,0.923076923,48,Male,West,Hispanic,10,47500,10,0,0,0,0,0,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,5,,5,5,4,3,4,5,bachelors,35_54,25000_49999,0.809799216
