Anthropicaware,BDaware,DMaware,OAaware,AFaware,AGaware,CGPTaware,Ciceroaware,Claudeaware,GPT4aware,Sophiaaware,NNaware,TFaware,TSaware,Amariaware,SCaware,chatbottrust,LLMtrust,robottrust,gameAItrust,relativeLLMchatbottrust,trainingdatatrust,algorithmtrust,outputtrust,companytrust,engineertrust,governmenttrust,admiration,awe,pride,compassion,excitement,respect,AID1,AID2,AID3,AID4,AID5,RS1,RS2,RS3,RS4,RS5,RS6,RS7,RS8,RS9,SI1,SI2,SI3,SI4,PMC1,PMC3,PMC4,PMC8,PMC9,PMC10,PMC11,PMC12,PMC13,LLM1,LLM2,LLM3,MP1,MP2,MP3,MP4,owngoals,safegoals,upholding,selfaware,sitaware,selfcontrol,understanding,friendliness,power,ownmotives,MCE1,MCE2,MCE3,MCE4,MCE5,MCE6,F1,F11,chatGPTsentient,emergence,HLAIemergence,SIemergence,SF1,SF2,upload1,upload2,universe,YG1,YG2,YG3,YG4,MCA1,MCA2,MCEn1,MCEn2,attention,own,work,smart,exper,fint,fexp,politics,religion,relelse,diet,feedback,minutes,age,gender,region,raceethnicity,education,income,zipcode,Pcode,religionRNR,dietMR,exp_seen_abuse,exp_video_abuse,exp_conv_robot,exp_book_article,exp_conv_friend,exp_none,exp_prop,RS1_r,education_recode,age_recode,income_recode,weight
(5) no,(5) no,(3) probably yes,(5) no,(5) no,(5) no,(3) probably yes,(5) no,(5) no,(6) definitely no,(5) no,(5) no,(5) no,(5) no,(5) no,(5) no,1,1,2,5,4,2.02,2.98,2.02,2.98,3.04,2.44,1.06,2.98,1.06,5.32,1.72,2.14,No,Yes,Yes,7,It's too fast.,2,5,5,7,6,1,7,7,5,5,7,7,7,1,1,1,1,1,1,1,1,1,1,3,1,0,0,20,66,13,0,0,0,19,1,13,8,71,1,1,1,1,1,1,1,Yes,Not sure,Not sure,5,10,5,1,1,3.1,3,One with humans,Very concerned,Very likely,Strongly support,Somewhat support,2,1,5,1,(2) agree,No,No,No,"[""None of the above""]",0,0,3.4,Protestant,,Meat-eater,We already put less value on minorities we donâ€™t need to come behind robots now.,15.67,48,Female,South,Black,10,37500,39079,1,0,0,0,0,0,0,0,1,0,6,bachelors,35_54,25000_49999,0.900801677
(5) no,(5) no,(5) no,(5) no,(5) no,(5) no,(5) no,(5) no,(5) no,(5) no,(5) no,(5) no,(5) no,(5) no,(5) no,(5) no,4,4,4,4,4,4.36,4.36,3.16,3.88,1.66,2.14,1.36,1.9,1.54,1.42,1.54,1.66,No,No,Not sure,4,It's too fast.,5,2,2,6,5,6,5,2,3,6,5,4,5,6,6,5,5,5,5,2,2,2,6,5,3,9,4,40,6,71,34,14,19,10,43,16,37,60,7,6,5,6,5,6,5,No,No,No,0,30,0,5,5,1.12,2,One with humans,Somewhat concerned,Not very likely,Strongly support,Somewhat support,5,6,6,6,(2) agree,No,No,Yes,"[""None of the above""]",0,1,1.8,Other,Apostolic,Meat-eater,,51.87,49,Female,Midwest,Black,8,97500,43207,2,0,0,0,0,0,0,0,1,0,3,some_college,35_54,75000_99999,1.053078361
(2) yes,(2) yes,(2) yes,(1) definitely yes,(3) probably yes,(2) yes,(3) probably yes,(3) probably yes,(3) probably yes,(2) yes,(2) yes,(3) probably yes,(1) definitely yes,(2) yes,(3) probably yes,(2) yes,6,6,6,6,7,5.14,4.72,4.72,4.48,4.84,5.5,3.82,4.78,4.54,3.82,4.84,5.14,Yes,Yes,No,7,It's too slow.,6,6,7,6,6,6,7,6,6,7,2,2,2,6,6,6,6,6,6,7,7,6,6,7,6,87,64,88,65,55,69,60,93,65,87,60,64,59,51,7,6,7,6,7,7,Not sure,Not sure,Not sure,0,0,0,6,6,4.84,7,One with humans,Not at all concerned,Very likely,Strongly support,Strongly support,3,3,3,3,(2) agree,Yes,No,Yes,"[""Had a conversation with a robot/AI"",""Had a conversation with a family member or friend about robots/AIs""]",4,3,3.8,Catholic,,Meat-eater,,4.25,26,Male,Northeast,Hispanic,7,82500,10468,3,0,0,0,0,1,0,1,0,0.4,2,some_college,18_34,75000_99999,1.26310904
(4) probably no,(3) probably yes,(3) probably yes,(3) probably yes,(4) probably no,(5) no,(1) definitely yes,(4) probably no,(4) probably no,(3) probably yes,(3) probably yes,(4) probably no,(3) probably yes,(4) probably no,(5) no,(4) probably no,5,5,5,6,5,5.32,4.84,4.6,4.6,5.56,4.06,4.6,4.24,4.84,5.02,5.38,4.84,Yes,Yes,Yes,5,It's fine.,6,5,5,5,6,6,6,5,6,5,5,6,5,4,5,5,3,3,3,6,5,6,6,5,5,42,69,71,66,47,78,65,59,58,59,57,50,57,41,5,5,6,3,3,3,No,Yes,Not sure,10,10,10,6,5,4.72,5,One with humans,Somewhat concerned,Somewhat likely,Somewhat support,Strongly support,5,5,6,6,(2) agree,No,No,No,"[""Had a conversation with a family member or friend about robots/AIs""]",1,4,2.16,Catholic,,Meat-eater,,12.92,51,Female,Northeast,Asian,10,77500,10039,4,0,0,0,0,0,0,1,0,0.2,2,bachelors,35_54,75000_99999,0.883348602
(5) no,(5) no,(5) no,(6) definitely no,(3) probably yes,(3) probably yes,(1) definitely yes,(5) no,(5) no,(5) no,(5) no,(6) definitely no,(3) probably yes,(6) definitely no,(5) no,No opinion,5,3,2,3,6,4.18,2.92,4.66,4.48,4.9,2.74,4.84,3.94,3.28,2.86,3.76,4.96,Not sure,No,Not sure,6,It's too fast.,2,5,7,7,7,2,6,7,5,3,3,5,5,4,5,6,4,4,4,2,3,3,7,6,6,14,16,67,24,38,39,48,27,50,19,28,37,55,36,5,4,4,4,7,4,Not sure,Not sure,Yes,5,6,1,7,6,4.06,2,One with humans,Somewhat concerned,Somewhat likely,Strongly support,Strongly support,6,7,7,6,(2) agree,No,No,Yes,"[""Had a conversation with a family member or friend about robots/AIs""]",0,2,1.68,None,,Meat-eater,,14.02,48,Female,Northeast,Black,7,97500,19120,5,1,0,0,0,0,0,1,0,0.2,6,some_college,35_54,75000_99999,1.120161208
(1) definitely yes,(2) yes,(3) probably yes,(3) probably yes,(1) definitely yes,(2) yes,(1) definitely yes,(2) yes,(1) definitely yes,(1) definitely yes,(2) yes,(4) probably no,(2) yes,(2) yes,(3) probably yes,(2) yes,1,3,1,2,1,2.32,5.98,4.12,2.38,6.16,2.14,1.72,1.18,1.48,1.42,1.24,2.5,Yes,Yes,Yes,7,It's fine.,1,6,2,7,7,1,7,7,7,7,7,7,7,7,7,7,1,1,1,1,7,1,7,1,1,8,15,69,94,20,94,98,93,84,12,89,86,0,11,5,1,7,1,6,1,Yes,Not sure,No,6,12,3,7,1,5.38,1,One with humans,Not at all concerned,Very likely,Strongly support,Strongly support,7,7,7,7,(2) agree,No,No,Yes,"[""Had a conversation with a family member or friend about robots/AIs""]",0,3,3,None,,Meat-eater,,5.92,19,Male,Northeast,Hispanic,5,175000,10312,6,1,0,0,0,0,0,1,0,0.2,7,high,18_34,100000_,1.179739307
No opinion,(5) no,(6) definitely no,(5) no,(5) no,(5) no,(2) yes,(5) no,(5) no,(5) no,(5) no,(5) no,(6) definitely no,(5) no,(6) definitely no,(6) definitely no,4,5,4,5,4,4.3,3.58,4.18,4.06,3.76,1.18,3.7,4.66,4.78,3.16,3.34,3.16,No,Not sure,No,1,It's too fast.,5,3,6,5,2,5,6,5,5,5,5,6,6,4,5,3,4,2,4,3,4,4,4,3,4,37,46,57,44,42,39,48,42,57,62,60,60,58,37,4,2,4,3,5,5,Not sure,No,No,0,5,0,2,2,4.54,5,One with humans,Very concerned,Somewhat likely,Somewhat support,Somewhat support,4,5,4,5,(2) agree,No,No,Yes,"[""None of the above""]",0,0,3.76,Catholic,,Meat-eater,,15.73,62,Female,South,Asian,10,112500,75090,7,0,0,0,0,0,0,0,1,0,3,bachelors,55_,100000_,0.844382121
(3) probably yes,(2) yes,(3) probably yes,(3) probably yes,(3) probably yes,(3) probably yes,(2) yes,(3) probably yes,(3) probably yes,(3) probably yes,(3) probably yes,(3) probably yes,(2) yes,(3) probably yes,(3) probably yes,(3) probably yes,5,5,3,5,5,5.62,6.04,6.22,1.54,3.46,1.3,3.1,4.96,2.38,2.44,6.22,3.16,Not sure,No,No,5,It's too fast.,3,5,6,6,7,3,7,6,7,6,6,6,6,4,4,4,5,5,5,5,4,5,6,6,5,27,26,84,60,69,71,72,81,88,48,72,83,36,77,5,3,5,3,5,3,Yes,Not sure,No,15,10,40,7,6,2.98,3,One with humans,Very concerned,Somewhat likely,Somewhat support,Somewhat support,5,6,5,6,(2) agree,Yes,Yes,Yes,"[""Had a conversation with a family member or friend about robots/AIs""]",4,4,2.64,Catholic,,Meat-eater,,9,37,Male,Northeast,Black,10,97500,7072,8,0,0,0,0,0,0,1,0,0.2,5,bachelors,35_54,75000_99999,1.046390353
(5) no,(5) no,(5) no,(5) no,(5) no,(5) no,(5) no,(5) no,(5) no,(5) no,(5) no,(5) no,(5) no,(5) no,(5) no,(5) no,3,2,1,3,3,2.26,1.42,2.26,1.54,2.5,1.18,2.68,4.3,3.34,2.44,4.18,1.96,Not sure,Not sure,No,2,It's too fast.,2,5,1,3,1,6,5,5,3,5,6,6,6,3,3,3,1,1,1,1,2,1,2,2,3,58,13,58,69,58,67,71,67,66,68,67,65,30,59,1,2,1,2,2,1,No,No,No,0,0,0,5,5,2.08,1,One with humans,Somewhat concerned,Very likely,Somewhat support,Somewhat oppose,5,1,5,5,(2) agree,Yes,No,Yes,[],1,3,3.48,Protestant,,Meat-eater,Nice detailed survey.,19.35,39,Male,West,Hispanic,6,7500,85308,9,0,0,0,0,0,0,0,0,0,6,high,35_54,_24999,0.960471424
(2) yes,(2) yes,(2) yes,(2) yes,(3) probably yes,(2) yes,(2) yes,(3) probably yes,(3) probably yes,(2) yes,(2) yes,(2) yes,(3) probably yes,(3) probably yes,(3) probably yes,(3) probably yes,6,6,6,6,6,7,7,7,7,7,1,7,7,7,7,7,7,Yes,Not sure,Yes,6,It's too slow.,6,2,6,2,2,6,2,2,2,2,2,2,2,2,2,2,6,6,6,6,2,6,6,6,6,100,100,100,0,100,100,100,100,100,100,100,100,0,100,6,6,6,4,6,6,Not sure,Yes,No,50,50,50,7,4,4,5,One with humans,Not very concerned,Not very likely,Somewhat oppose,Strongly oppose,6,6,6,6,(2) agree,No,No,Yes,"[""Had a conversation with a robot/AI"",""Had a conversation with a family member or friend about robots/AIs""]",0,5,3,Buddhist,,Meat-eater,,23.97,41,Male,Northeast,Asian,8,72500,10467,10,0,0,0,0,1,0,1,0,0.4,2,some_college,35_54,50000_74999,1.266335516
